NPI|NDC|Units|UnitCost
0000000009|00000001465|2555|258.72
0000000003|00000001248|631|470.68
0000000002|00000000056|24|250.37
0000000002|00000004505|2235|62.65
0000000001|00000001993|629|503.38
0000000007|00000000005|565|501.66
0000000009|00000002611|1530|44.14
0000000003|00000002621|302|445.82
0000000003|00000001488|233|423.32
0000000008|00000003967|100|194.44
0000000005|00000000874|1182|307.17
0000000005|00000001767|2174|184.98
0000000009|00000001076|1404|144.82
0000000004|00000003193|2390|488.92
0000000003|00000001572|2265|196.38
0000000007|00000003082|2919|314.42
0000000005|00000002456|371|175.83
0000000002|00000000583|262|470.16
0000000002|00000002252|2309|337.70
0000000003|00000000725|372|93.23
0000000009|00000002992|2076|421.32
0000000009|00000003484|261|236.87
0000000009|00000002055|1151|25.94
0000000009|00000000160|1814|156.88
0000000001|00000001010|732|166.43
0000000007|00000003350|1147|58.27
0000000004|00000004871|734|468.84
0000000007|00000002156|2776|323.67
0000000005|00000004472|2406|354.23
0000000002|00000003112|680|341.42
0000000004|00000003216|2176|36.55
0000000006|00000000525|2877|447.96
0000000010|00000001011|2006|374.95
0000000001|00000000983|1891|435.79
0000000001|00000003353|407|426.69
0000000005|00000004839|600|198.64
0000000009|00000001046|787|181.22
0000000001|00000002277|1742|228.62
0000000008|00000003469|2042|85.76
0000000009|00000000979|611|295.91
0000000001|00000003295|553|193.89
0000000010|00000002676|367|264.24
0000000005|00000002562|2711|216.62
0000000002|00000001571|1385|56.40
0000000009|00000004297|2066|399.85
0000000007|00000001448|2466|305.93
0000000007|00000001629|166|487.21
0000000006|00000002595|1573|77.44
0000000001|00000003683|1935|144.23
0000000004|00000004593|986|237.56
0000000007|00000004249|2869|228.05
0000000001|00000000596|525|11.75
0000000003|00000002109|1043|153.25
0000000004|00000001062|1014|405.34
0000000002|00000004987|291|426.61
0000000010|00000004146|2516|501.06
0000000006|00000004045|97|195.79
0000000002|00000004320|96|69.50
0000000001|00000004758|931|303.94
